実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,
4- 6.,"117,401.40","65,186.10","63,944.90","53,929.10","6,568.60","17,065.80","2,478.30","21,349.90","8,781.00",-24.2,"-2,532.80","12,840.80","15,373.60","-1,471.30",,"4,761.20","122,162.60","1,842.60","2,792.50",949.9,"124,005.20",,"120,838.50","90,969.40","29,854.40",,"32,019.80",,"115,102.50"
7- 9.,"120,531.70","67,162.40","65,869.50","55,784.20","6,876.20","20,079.60",-874.9,"21,164.20","9,877.60",-41.9,"-2,539.20","13,380.00","15,919.20","-1,172.50",,"4,758.00","125,289.70","1,984.10","2,911.40",927.2,"127,273.80",,"123,952.70","93,272.60","30,668.10",,"36,503.60",,"121,206.60"
10-12.,"126,141.80","68,560.60","67,178.70","57,025.00","6,882.20","19,807.20","2,471.80","21,550.40","11,880.10",-17.1,"-3,360.50","13,567.90","16,928.40","-1,633.00",,"4,754.50","130,896.40","1,599.80","2,595.50",995.6,"132,496.20",,"130,368.80","97,455.30","32,938.20",,"38,023.00",,"123,837.20"
2001/ 1- 3.,"121,548.20","67,409.20","66,544.20","56,336.90","6,507.40","22,356.40","-3,418.20","21,587.70","11,854.50",60.1,"-3,832.50","12,614.60","16,447.10",-976.4,,"4,839.60","126,387.80","2,352.70","3,387.00","1,034.40","128,740.50",,"126,183.20","93,241.30","33,021.40",,"40,376.30",,"124,389.60"
4- 6.,"118,633.40","67,176.60","65,874.90","55,610.80","6,190.90","17,701.20","2,777.60","21,858.70","8,218.90",-79.2,"-3,980.80","12,079.00","16,059.80","-1,230.50",,"4,505.70","123,139.10","1,813.90","2,893.50","1,079.60","124,953.10",,"123,397.80","93,556.50","29,799.60",,"31,847.60",,"116,111.30"
7- 9.,"120,260.10","68,748.60","67,374.60","57,047.10","6,587.90","19,884.10","-1,128.00","21,563.70","9,421.10",-84.2,"-3,579.30","12,062.80","15,642.00","-1,153.80",,"4,423.60","124,683.70","2,010.50","2,949.50",939,"126,694.20",,"124,809.50","94,179.10","30,609.10",,"35,618.90",,"121,193.50"
10-12.,"124,038.50","69,282.40","67,820.30","57,433.80","6,512.20","18,251.80","2,048.30","22,074.30","11,331.10",-18.7,"-3,601.30","12,064.50","15,665.80","-1,841.60",,"4,652.60","128,691.10","1,700.80","2,519.60",818.9,"130,391.90",,"128,771.10","95,856.40","32,955.30",,"35,547.30",,"122,108.80"
2002/ 1- 3.,"119,181.40","68,286.00","67,289.60","56,851.00","6,086.90","20,392.20","-4,804.00","22,115.30","11,167.30",26.7,"-3,059.50","12,199.00","15,258.50","-1,029.50",,"4,741.70","123,923.10","2,348.20","3,058.00",709.8,"126,271.40",,"123,249.20","90,443.00","32,881.70",,"37,282.70",,"123,241.70"
4- 6.,"118,296.00","68,035.20","66,807.00","56,311.70","6,117.20","16,307.30","1,562.00","22,243.60","7,880.70",-18.5,"-2,682.60","13,026.10","15,708.70","-1,148.90",,"4,687.00","122,983.00","1,658.30","2,552.70",894.4,"124,641.30",,"121,798.20","91,821.80","29,971.40",,"29,995.90",,"116,808.00"
7- 9.,"121,387.90","69,645.70","68,317.60","57,766.10","6,561.90","18,961.10",-880.2,"22,087.40","8,980.80",-27.7,"-2,955.30","13,332.90","16,288.20",-985.8,,"4,683.80","126,071.70","1,947.10","2,759.90",812.8,"128,018.80",,"125,143.50","94,334.30","30,802.80",,"34,213.40",,"122,052.50"
