2007,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,23,,,11,,"17,088,524","4,677,174","3,571,497","451,369","2,141,478","2,808,747","3,438,259","1,472,236","1,966,023","141,280","228,651","5,078","3,486","1,211,779","880,296","331,483","5,511,122",Nov.,23
,24,,,12,,"19,263,808","5,285,086","3,516,111","483,022","3,330,593","2,971,148","3,677,848","1,772,978","1,904,870","136,654","216,082","4,344","4,506","1,642,028","1,208,576","433,452","6,404,854",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,21年,1月,,"18,299,370","4,618,955","3,330,054","524,087","3,487,340","2,598,160","3,740,774","1,772,651","1,968,123","112,455","236,118","4,033","2,915","1,440,303","1,102,077","338,226","6,294,400",Jan. 2009,25
,26,,,2,,"16,019,562","4,209,271","3,128,868","459,724","2,619,917","2,471,372","3,130,410","1,577,250","1,553,160","113,284","250,015","3,543","3,886","1,251,819","973,786","278,033","5,632,753",Feb.,26
,27,,,3,,"17,653,978","4,894,950","3,378,992","412,163","2,576,044","2,980,363","3,411,466","1,668,315","1,743,151","124,977","300,083","3,924","2,750","1,298,085","934,364","363,721","6,282,804",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,販売部門,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,To Ｓａｌｅｓ,,,,,,,,,,,,,,,,,
（４）石油製品月別,,,,,,,department,,,,,,,,,,,,,,,,,
,,,平成17年,,, ,"61,622,267",,,,,,,,,,,,,,,,,
,,,18,,,,"61,066,969",,,,,,,,,,,,,,,,,
,,,19,,,,"60,527,925",,,,,,,,,,,,,,,,,
,,,20,,,,"58,446,919",,,,,,,,,,,,,,,,,
,,,21,,,,"58,617,026",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,平成20年度,,,,"58,566,590",,,,,,,,,,,,,,,,,
,,,21,,,,"59,024,144",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,平成21年 1～ 3月,,,,"14,211,969",,,,,,,,,,,,,,,,,
,,,4～ 6,,,,"14,124,355",,,,,,,,,,,,,,,,,
,,,7～ 9,,,,"15,257,144",,,,,,,,,,,,,,,,,
,,,10～12,,,,"15,023,558",,,,,,,,,,,,,,,,,
,,,平成22年 1～ 3月,,,,"14,619,087",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,平成21年 1月,,,,"4,739,744",,,,,,,,,,,,,,,,,
,,,2,,,,"4,376,842",,,,,,,,,,,,,,,,,
,,,3,,,,"5,095,383",,,,,,,,,,,,,,,,,
,,,4,,,,"4,838,494",,,,,,,,,,,,,,,,,
,,,5,,,,"4,663,800",,,,,,,,,,,,,,,,,
,,,6,,,,"4,622,061",,,,,,,,,,,,,,,,,
,,,7,,,,"4,965,271",,,,,,,,,,,,,,,,,
,,,8,,,,"5,444,153",,,,,,,,,,,,,,,,,
,,,9,,,,"4,847,720",,,,,,,,,,,,,,,,,
,,,10,,,,"4,868,903",,,,,,,,,,,,,,,,,
,,,11,,,,"4,830,818",,,,,,,,,,,,,,,,,
,,,12,,,,"5,323,837",,,,,,,,,,,,,,,,,
,,,平成22年 1月,,,,"4,799,292",,,,,,,,,,,,,,,,,
,,,2,,,,"4,502,819",,,,,,,,,,,,,,,,,
,,,3,,,,"5,316,976",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,18年,,,"228,938,568","60,840,334","49,647,042","5,431,666","26,322,908","36,778,726","49,917,892","25,278,643","24,639,249","2,061,152","3,319,958","69,466","60,934","16,759,040","11,226,496","5,532,544","61,822,704",C.Y. 2006,1
,2,,19,,,"r219,209,760","r59,805,380","49,309,650","5,829,121","23,006,328","35,937,542","45,321,739","21,676,033","23,645,706","1,944,865","3,384,361","78,382","60,334","16,307,572","10,593,967","5,713,605","71,452,956",C.Y. 2007,2
,3,,20,,,"r207,670,263","r57,246,818","45,329,589","5,760,721","20,972,251","34,246,289","44,114,595","19,093,641","25,020,954","1,888,509","2,835,708","72,048","57,948","16,245,086","11,086,148","5,158,938","72,335,275",C.Y. 2008,3
,4,,21,,,"r193,396,001","r57,447,164","44,485,185","5,336,699","20,104,238","32,246,936","33,775,779","16,207,323","17,568,456","1,586,824","2,801,561","54,529","47,772","r15,081,285","10,017,926","r5,063,359","68,094,798",C.Y. 2009,4
,5,,22,,,"197,208,631","58,367,886","47,384,682","5,432,229","20,239,708","33,057,079","32,727,047","15,625,842","17,101,205","1,756,400","2,752,421","64,927","57,039","14,643,872","10,271,967","4,371,905","75,213,531",C.Y. 2010,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,21年度,,,"194,988,443","57,463,747","47,320,496","5,282,865","20,056,476","32,388,213","32,476,646","16,042,538","16,434,108","1,680,913","2,872,190","58,279","50,477","15,233,335","10,064,794","5,168,541","70,326,303",F.Y. 2009,6
,7,,22,,,"195,948,401","58,197,046","46,667,669","5,153,558","20,331,942","32,863,787","32,734,399","15,404,081","17,330,318","1,762,495","2,628,277","66,546","58,708","14,505,411","10,332,450","4,172,961","75,654,596",F.Y. 2010,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,22年,1～ 3月,,"53,583,343","13,764,302","12,661,098","1,342,140","8,634,724","8,196,768","8,984,311","4,853,431","4,130,880","444,784","856,845","15,250","12,256","4,148,083","3,057,095","1,090,988","20,331,987",Q1 2010,8
,9,,,4～ 6,,"44,524,176","13,989,837","10,814,773","1,338,881","3,351,403","7,755,336","7,273,946","3,479,826","3,794,120","434,400","544,033","16,010","14,505","3,615,683","2,516,499","1,099,184","17,098,335",Q2,9
,10,,,7～ 9,,"47,507,075","15,851,440","11,323,469","1,438,641","2,142,501","8,497,659","8,253,365","3,231,730","5,021,635","418,517","605,664","16,531","14,327","3,350,576","2,157,126","1,193,450","19,084,062",Q3,10
,11,,,10～12,,"51,594,037","14,762,307","12,585,342","1,312,567","6,111,080","8,607,316","8,215,425","4,060,855","4,154,570","458,699","745,879","17,136","15,951","3,529,530","2,541,247","988,283","18,699,147",Q4,11
,12,平成,23年,1～ 3月,,"52,323,113","13,593,462","11,944,085","1,063,469","8,726,958","8,003,476","8,991,663","4,631,670","4,359,993","450,879","732,701","16,869","13,925","4,009,622","3,117,578","892,044","20,773,052",Q1 2011,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,22年,1月,,"18,428,991","4,462,600","4,700,231","377,139","3,221,777","2,556,346","3,110,898","1,613,151","1,497,747","134,285","219,182","4,658","4,517","1,500,937","1,084,765","416,172","6,502,494",Jan. 2010,13
,14,,,2,,"17,318,038","4,317,183","4,068,452","378,520","3,023,580","2,643,778","2,886,525","1,580,262","1,306,263","138,551","267,784","5,059","3,424","1,259,345","953,242","306,103","6,507,244",Feb.,14
,15,,,3,,"17,836,314","4,984,519","3,892,415","586,481","2,389,367","2,996,644","2,986,888","1,660,018","1,326,870","171,948","369,879","5,533","4,315","1,387,801","1,019,088","368,713","7,322,249",Mar.,15
